timestamp,base_currency,asset,asset_type,rate,source
2026-04-13 02:00:23,KES,USD,Fiat,129.2101512663241,currency-api.com
2026-04-13 02:00:23,KES,EUR,Fiat,151.52991190611584,currency-api.com
2026-04-13 02:00:23,KES,GBP,Fiat,173.85238562503636,currency-api.com
2026-04-13 02:00:23,KES,JPY,Fiat,0.8112393447058436,currency-api.com
2026-04-13 02:00:23,KES,CAD,Fiat,93.34982389088974,currency-api.com
2026-04-13 02:00:23,KES,AUD,Fiat,91.24822738912268,currency-api.com
2026-04-13 02:00:23,KES,CHF,Fiat,163.71806877576685,currency-api.com
2026-04-13 02:00:23,KES,CNY,Fiat,18.923462749191962,currency-api.com
2026-04-13 02:00:23,KES,INR,Fiat,1.3880060014048285,currency-api.com
2026-04-13 02:00:23,KES,BRL,Fiat,25.79455150458716,currency-api.com
2026-04-13 02:00:23,KES,ZAR,Fiat,7.870002666356903,currency-api.com
2026-04-13 02:00:23,KES,AED,Fiat,35.183123584451,currency-api.com
2026-04-13 02:00:23,KES,SAR,Fiat,34.42316500004045,currency-api.com
2026-04-13 02:00:23,KES,AVAX,Crypto,1170.33,CoinGecko
2026-04-13 02:00:23,KES,BTC,Crypto,9157348,CoinGecko
2026-04-13 02:00:23,KES,ADA,Crypto,30.72,CoinGecko
2026-04-13 02:00:23,KES,LINK,Crypto,1131.8,CoinGecko
2026-04-13 02:00:23,KES,ETH,Crypto,283900,CoinGecko
2026-04-13 02:00:23,KES,LTC,Crypto,6926.79,CoinGecko
2026-04-13 02:00:23,KES,DOT,Crypto,158.47,CoinGecko
2026-04-13 02:00:23,KES,XRP,Crypto,171.52,CoinGecko
2026-04-13 02:00:23,KES,SOL,Crypto,10584.34,CoinGecko
2026-04-13 02:00:23,KES,UNI,Crypto,391.03,CoinGecko
timestamp,base_currency,asset,asset_type,rate,source
2026-04-13 02:01:51,KES,USD,Fiat,129.2101512663241,currency-api.com
2026-04-13 02:01:51,KES,EUR,Fiat,151.52991190611584,currency-api.com
2026-04-13 02:01:51,KES,GBP,Fiat,173.85238562503636,currency-api.com
2026-04-13 02:01:51,KES,JPY,Fiat,0.8112393447058436,currency-api.com
2026-04-13 02:01:51,KES,CAD,Fiat,93.34982389088974,currency-api.com
2026-04-13 02:01:51,KES,AUD,Fiat,91.24822738912268,currency-api.com
2026-04-13 02:01:51,KES,CHF,Fiat,163.71806877576685,currency-api.com
2026-04-13 02:01:51,KES,CNY,Fiat,18.923462749191962,currency-api.com
2026-04-13 02:01:51,KES,INR,Fiat,1.3880060014048285,currency-api.com
2026-04-13 02:01:51,KES,BRL,Fiat,25.79455150458716,currency-api.com
2026-04-13 02:01:51,KES,ZAR,Fiat,7.870002666356903,currency-api.com
2026-04-13 02:01:51,KES,AED,Fiat,35.183123584451,currency-api.com
2026-04-13 02:01:51,KES,SAR,Fiat,34.42316500004045,currency-api.com
2026-04-13 02:01:51,KES,AVAX,Crypto,1170.71,CoinGecko
2026-04-13 02:01:51,KES,BTC,Crypto,9160328,CoinGecko
2026-04-13 02:01:51,KES,ADA,Crypto,30.72,CoinGecko
2026-04-13 02:01:51,KES,LINK,Crypto,1131.61,CoinGecko
2026-04-13 02:01:51,KES,ETH,Crypto,284074,CoinGecko
2026-04-13 02:01:51,KES,LTC,Crypto,6925.84,CoinGecko
2026-04-13 02:01:51,KES,DOT,Crypto,158.51,CoinGecko
2026-04-13 02:01:51,KES,XRP,Crypto,171.56,CoinGecko
2026-04-13 02:01:51,KES,SOL,Crypto,10591.83,CoinGecko
2026-04-13 02:01:51,KES,UNI,Crypto,391.17,CoinGecko
